ASSESSMENT_UNIT_ID,PARAM_NAME,Pollu_ID,ACTION_ID,Pollutant_DEQ.WQS,OWRD_Basin
OR_WS_170702010501_05_102038,DISSOLVED OXYGEN,154,39753,Dissolved Oxygen,John Day
OR_WS_170702020706_05_102126,DISSOLVED OXYGEN,154,39753,Dissolved Oxygen,John Day
OR_WS_170702020708_05_102128,DISSOLVED OXYGEN,154,39753,Dissolved Oxygen,John Day
OR_WS_170702020801_05_102132,DISSOLVED OXYGEN,154,39753,Dissolved Oxygen,NA
OR_WS_170702020803_05_102134,DISSOLVED OXYGEN,154,39753,Dissolved Oxygen,John Day
OR_WS_170702020804_05_102135,DISSOLVED OXYGEN,154,39753,Dissolved Oxygen,John Day
OR_WS_170702020805_05_102136,DISSOLVED OXYGEN,154,39753,Dissolved Oxygen,NA
OR_WS_170702040103_05_102182,DISSOLVED OXYGEN,154,39753,Dissolved Oxygen,NA
OR_LK_1801020203_05_100344,TEMPERATURE,132,2352,Temperature,NA
OR_LK_1801020404_05_100400,TEMPERATURE,132,OR_TMDL_20190919,Temperature,NA
OR_LK_1801020404_05_100403,AMMONIA,6,42375,Ammonia,NA
OR_LK_1801020404_05_100403,CHLOROPHYLL-A,40,42375,Chlorophyll-a,NA
OR_LK_1801020404_05_100403,TEMPERATURE,132,OR_TMDL_20190919,Temperature,NA
OR_LK_1801020405_05_100423,HARMFUL ALGAL BLOOMS,174,42375,Harmful Algal Blooms,NA
OR_LK_1801020405_05_100423,TEMPERATURE,132,OR_TMDL_20190919,Temperature,NA
OR_LK_1801020409_05_100452,AMMONIA,6,42375,Ammonia,NA
OR_LK_1801020409_05_100452,AMMONIA,6,OR_TMDL_20190116,Ammonia,NA
OR_LK_1801020409_05_100452,CHLOROPHYLL-A,40,42375,Chlorophyll-a,NA
OR_LK_1801020409_05_100452,CHLOROPHYLL-A,40,OR_TMDL_20190116,Chlorophyll-a,NA
OR_LK_1801020409_05_100452,DISSOLVED OXYGEN,154,42375,Dissolved Oxygen,NA
OR_LK_1801020409_05_100452,DISSOLVED OXYGEN,154,OR_TMDL_20190116,Dissolved Oxygen,NA
OR_LK_1801020409_05_100452,PH,124,42375,pH,NA
OR_LK_1801020409_05_100452,PH,124,OR_TMDL_20190116,pH,NA
OR_LK_1801020409_05_100452,TEMPERATURE,132,OR_TMDL_20190919,Temperature,NA
OR_LK_1801020412_88_100474,AMMONIA,6,42375,Ammonia,Klamath
OR_LK_1801020412_88_100474,AMMONIA,6,OR_TMDL_20190116,Ammonia,Klamath
OR_LK_1801020412_88_100474,CHLOROPHYLL-A,40,42375,Chlorophyll-a,Klamath
OR_LK_1801020412_88_100474,CHLOROPHYLL-A,40,OR_TMDL_20190116,Chlorophyll-a,Klamath
OR_LK_1801020412_88_100474,DISSOLVED OXYGEN,154,42375,Dissolved Oxygen,Klamath
OR_LK_1801020412_88_100474,DISSOLVED OXYGEN,154,OR_TMDL_20190116,Dissolved Oxygen,Klamath
OR_LK_1801020412_88_100474,HARMFUL ALGAL BLOOMS,174,42375,Harmful Algal Blooms,Klamath
OR_LK_1801020412_88_100474,HARMFUL ALGAL BLOOMS,174,OR_TMDL_20190116,Harmful Algal Bloom,Klamath
OR_LK_1801020412_88_100474,PH,124,42375,pH,Klamath
OR_LK_1801020412_88_100474,PH,124,OR_TMDL_20190116,pH,Klamath
OR_LK_1801020412_88_100474,TEMPERATURE,132,OR_TMDL_20190919,Temperature,Klamath
OR_LK_1801020602_05_100486,DISSOLVED OXYGEN,154,42375,Dissolved Oxygen,NA
OR_LK_1801020602_05_100486,DISSOLVED OXYGEN,154,OR_TMDL_20190116,Dissolved Oxygen,NA
OR_LK_1801020604_05_100490,AMMONIA,6,42375,Ammonia,Klamath
OR_LK_1801020604_05_100491,AMMONIA,6,42375,Ammonia,Klamath
OR_LK_1801020604_05_100491,DISSOLVED OXYGEN,154,42375,Dissolved Oxygen,Klamath
OR_LK_1801020604_05_100491,HARMFUL ALGAL BLOOMS,174,42375,Harmful Algal Blooms,Klamath
OR_LK_1801020604_05_100491,PH,124,42375,pH,Klamath
OR_SR_1801020104_05_107178,TEMPERATURE,132,2352,Temperature,NA
OR_SR_1801020104_05_107179,DISSOLVED OXYGEN,154,2352,Dissolved Oxygen,Klamath
OR_SR_1801020104_05_107179,TEMPERATURE,132,2352,Temperature,Klamath
OR_SR_1801020106_05_106967,CHLOROPHYLL-A,40,2352,Chlorophyll-a,Klamath
OR_SR_1801020106_05_106967,DISSOLVED OXYGEN,154,2352,Dissolved Oxygen,Klamath
OR_SR_1801020106_05_106967,PH,124,2352,pH,Klamath
OR_SR_1801020106_05_106967,TEMPERATURE,132,2352,Temperature,Klamath
OR_SR_1801020203_05_106970,TEMPERATURE,132,2352,Temperature,NA
OR_SR_1801020204_05_106972,DISSOLVED OXYGEN,154,2352,Dissolved Oxygen,Klamath
OR_SR_1801020204_05_106972,TEMPERATURE,132,2352,Temperature,Klamath
OR_SR_1801020204_05_106973,DISSOLVED OXYGEN,154,2352,Dissolved Oxygen,Klamath
OR_SR_1801020204_05_106973,TEMPERATURE,132,2352,Temperature,Klamath
OR_SR_1801020204_05_106974,TEMPERATURE,132,2352,Temperature,NA
OR_SR_1801020204_05_106975,TEMPERATURE,132,2352,Temperature,NA
OR_SR_1801020205_05_106976,DISSOLVED OXYGEN,154,2352,Dissolved Oxygen,Klamath
OR_SR_1801020205_05_106976,TEMPERATURE,132,2352,Temperature,Klamath
OR_SR_1801020206_05_106977,DISSOLVED OXYGEN,154,2352,Dissolved Oxygen,Klamath
OR_SR_1801020206_05_106977,TEMPERATURE,132,2352,Temperature,Klamath
OR_SR_1801020207_05_106978,CHLOROPHYLL-A,40,2352,Chlorophyll-a,Klamath
OR_SR_1801020207_05_106978,DISSOLVED OXYGEN,154,2352,Dissolved Oxygen,Klamath
OR_SR_1801020207_05_106978,PH,124,2352,pH,Klamath
OR_SR_1801020207_05_106978,TEMPERATURE,132,2352,Temperature,Klamath
OR_SR_1801020301_05_106979,DISSOLVED OXYGEN,154,2352,Dissolved Oxygen,Klamath
OR_SR_1801020303_88_106981,AMMONIA,6,42375,Ammonia,Klamath
OR_SR_1801020303_88_106981,AMMONIA,6,OR_TMDL_20190116,Ammonia,Klamath
OR_SR_1801020303_88_106981,CHLOROPHYLL-A,40,2352,Chlorophyll-a,Klamath
OR_SR_1801020303_88_106981,CHLOROPHYLL-A,40,42375,Chlorophyll-a,Klamath
OR_SR_1801020303_88_106981,CHLOROPHYLL-A,40,OR_TMDL_20190116,Chlorophyll-a,Klamath
OR_SR_1801020303_88_106981,DISSOLVED OXYGEN,154,2352,Dissolved Oxygen,Klamath
OR_SR_1801020303_88_106981,DISSOLVED OXYGEN,154,42375,Dissolved Oxygen,Klamath
OR_SR_1801020303_88_106981,DISSOLVED OXYGEN,154,OR_TMDL_20190116,Dissolved Oxygen,Klamath
